Folder: addins, Size: 802
Folder: 2.0.0.0__b77a5c561934e089, Size: 502272
Folder: System.EnterpriseServices, Size: 0
Folder: 2.0.0.0__b03f5f7f11d50a3a, Size: 378880
Folder: System.Printing, Size: 0
Folder: 3.0.0.0__31bf3856ad364e35, Size: 358912
Folder: System.Transactions, Size: 0
Folder: 2.0.0.0__b77a5c561934e089, Size: 283136
Folder: System.Web, Size: 0
Folder: 2.0.0.0__b03f5f7f11d50a3a, Size: 5263360
Folder: GAC_MSIL, Size: 0
Folder: Accessibility, Size: 0
Folder: 2.0.0.0__b03f5f7f11d50a3a, Size: 10752
Folder: Bullzip.PdfWriter, Size: 0
Folder: 4.0.0.0__041d71cacb6e853c, Size: 28160
Folder: ComSvcConfig, Size: 0
Folder: 3.0.0.0__b03f5f7f11d50a3a, Size: 165720
Folder: cscompmgd, Size: 0
Folder: 8.0.0.0__b03f5f7f11d50a3a, Size: 13312
Folder: dfsvc, Size: 0
Folder: 2.0.0.0__b03f5f7f11d50a3a, Size: 5120
Folder: ehCIR, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 94208
Folder: ehexthost, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 145634
Folder: ehiActivScp, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 15872
Folder: ehiBmlDataCarousel, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 11776
Folder: ehiExtens, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 77824
Folder: ehiiTV, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 40960
Folder: ehiProxy, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 172032
Folder: ehiTVMSMusic, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 86016
Folder: ehiUPnP, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 6144
Folder: ehiUserXp, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 32768
Folder: ehiVidCtl, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 335872
Folder: ehiwmp, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 143360
Folder: ehiWUapi, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 86016
Folder: ehRecObj, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 196608
Folder: ehshell, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 6307840
Folder: EnvDTE100, Size: 0
Folder: 10.0.0.0__b03f5f7f11d50a3a, Size: 18768
Folder: EventViewer, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 368640
Folder: EventViewer.Resources, Size: 0
Folder: 6.1.0.0_en_31bf3856ad364e35, Size: 8192
Folder: FirebirdSql.Data.FirebirdClient, Size: 0
Folder: FSharp.Core, Size: 0
Folder: 2.3.0.0__b03f5f7f11d50a3a, Size: 931800
Folder: IEExecRemote, Size: 0
Folder: 2.0.0.0__b03f5f7f11d50a3a, Size: 8192
Folder: IEHost, Size: 0
Folder: 2.0.0.0__b03f5f7f11d50a3a, Size: 77824
Folder: IIEHost, Size: 0
Folder: 2.0.0.0__b03f5f7f11d50a3a, Size: 6656
Folder: loadmxf, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 106496
Folder: mcepg, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 741376
Folder: MCESidebarCtrl, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 53248
Folder: mcglidhostobj, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 118784
